Totales Territoriales	Comunidades y Ciudades Autónomas	Provincias	Viajeros y pernoctaciones	Residencia: Nivel 1	Residencia: Nivel 2	Periodo	Total
Total Nacional	01 Andalucía	04 Almería	Viajero	Total	Residentes en el Extranjero	2021M02	1.767
Total Nacional	01 Andalucía	04 Almería	Viajero	Total	Residentes en el Extranjero	2021M01	2.627
Total Nacional	01 Andalucía	04 Almería	Viajero	Total	Residentes en el Extranjero	2020M12	2.219
Total Nacional	01 Andalucía	04 Almería	Viajero	Total	Residentes en el Extranjero	2020M11	2.678
Total Nacional	01 Andalucía	04 Almería	Viajero	Total	Residentes en el Extranjero	2020M10	6.170
Total Nacional	01 Andalucía	04 Almería	Viajero	Total	Residentes en el Extranjero	2020M09	8.239
Total Nacional	01 Andalucía	04 Almería	Viajero	Total	Residentes en el Extranjero	2020M08	10.512
Total Nacional	01 Andalucía	04 Almería	Viajero	Total	Residentes en el Extranjero	2020M07	8.907
Total Nacional	01 Andalucía	04 Almería	Viajero	Total	Residentes en el Extranjero	2020M06	2.973
Total Nacional	01 Andalucía	04 Almería	Viajero	Total	Residentes en el Extranjero	2020M05	77
Total Nacional	01 Andalucía	04 Almería	Viajero	Total	Residentes en el Extranjero	2020M04	0
Total Nacional	01 Andalucía	04 Almería	Viajero	Total	Residentes en el Extranjero	2020M03	7.936
Total Nacional	01 Andalucía	04 Almería	Viajero	Total	Residentes en el Extranjero	2020M02	14.311
Total Nacional	01 Andalucía	04 Almería	Viajero	Total	Residentes en el Extranjero	2020M01	11.505
Total Nacional	01 Andalucía	04 Almería	Viajero	Total	Residentes en el Extranjero	2019M12	10.164
Total Nacional	01 Andalucía	04 Almería	Viajero	Total	Residentes en el Extranjero	2019M11	14.050
Total Nacional	01 Andalucía	04 Almería	Viajero	Total	Residentes en el Extranjero	2019M10	30.542
Total Nacional	01 Andalucía	04 Almería	Viajero	Total	Residentes en el Extranjero	2019M09	44.213
Total Nacional	01 Andalucía	04 Almería	Viajero	Total	Residentes en el Extranjero	2019M08	51.605
Total Nacional	01 Andalucía	04 Almería	Viajero	Total	Residentes en el Extranjero	2019M07	50.716
Total Nacional	01 Andalucía	04 Almería	Viajero	Total	Residentes en el Extranjero	2019M06	43.429
Total Nacional	01 Andalucía	04 Almería	Viajero	Total	Residentes en el Extranjero	2019M05	37.121
Total Nacional	01 Andalucía	04 Almería	Viajero	Total	Residentes en el Extranjero	2019M04	22.913
Total Nacional	01 Andalucía	04 Almería	Viajero	Total	Residentes en el Extranjero	2019M03	15.701
Total Nacional	01 Andalucía	04 Almería	Viajero	Total	Residentes en el Extranjero	2019M02	11.589
Total Nacional	01 Andalucía	04 Almería	Viajero	Total	Residentes en el Extranjero	2019M01	9.840
Total Nacional	01 Andalucía	04 Almería	Viajero	Total	Residentes en el Extranjero	2018M12	8.725
Total Nacional	01 Andalucía	04 Almería	Viajero	Total	Residentes en el Extranjero	2018M11	12.389
Total Nacional	01 Andalucía	04 Almería	Viajero	Total	Residentes en el Extranjero	2018M10	34.288
Total Nacional	01 Andalucía	04 Almería	Viajero	Total	Residentes en el Extranjero	2018M09	47.759
Total Nacional	01 Andalucía	04 Almería	Viajero	Total	Residentes en el Extranjero	2018M08	57.449
Total Nacional	01 Andalucía	04 Almería	Viajero	Total	Residentes en el Extranjero	2018M07	49.047
Total Nacional	01 Andalucía	04 Almería	Viajero	Total	Residentes en el Extranjero	2018M06	44.055
Total Nacional	01 Andalucía	04 Almería	Viajero	Total	Residentes en el Extranjero	2018M05	39.624
Total Nacional	01 Andalucía	04 Almería	Viajero	Total	Residentes en el Extranjero	2018M04	23.033
Total Nacional	01 Andalucía	04 Almería	Viajero	Total	Residentes en el Extranjero	2018M03	17.147
Total Nacional	01 Andalucía	04 Almería	Viajero	Total	Residentes en el Extranjero	2018M02	12.173
Total Nacional	01 Andalucía	04 Almería	Viajero	Total	Residentes en el Extranjero	2018M01	10.077
Total Nacional	01 Andalucía	04 Almería	Viajero	Total	Residentes en el Extranjero	2017M12	10.924
Total Nacional	01 Andalucía	04 Almería	Viajero	Total	Residentes en el Extranjero	2017M11	14.057
Total Nacional	01 Andalucía	04 Almería	Viajero	Total	Residentes en el Extranjero	2017M10	34.866
Total Nacional	01 Andalucía	04 Almería	Viajero	Total	Residentes en el Extranjero	2017M09	54.057
Total Nacional	01 Andalucía	04 Almería	Viajero	Total	Residentes en el Extranjero	2017M08	51.294
Total Nacional	01 Andalucía	04 Almería	Viajero	Total	Residentes en el Extranjero	2017M07	50.804
Total Nacional	01 Andalucía	04 Almería	Viajero	Total	Residentes en el Extranjero	2017M06	42.857
Total Nacional	01 Andalucía	04 Almería	Viajero	Total	Residentes en el Extranjero	2017M05	37.564
Total Nacional	01 Andalucía	04 Almería	Viajero	Total	Residentes en el Extranjero	2017M04	23.528
Total Nacional	01 Andalucía	04 Almería	Viajero	Total	Residentes en el Extranjero	2017M03	14.194
Total Nacional	01 Andalucía	04 Almería	Viajero	Total	Residentes en el Extranjero	2017M02	11.265
Total Nacional	01 Andalucía	04 Almería	Viajero	Total	Residentes en el Extranjero	2017M01	9.990
Total Nacional	01 Andalucía	04 Almería	Viajero	Total	Residentes en el Extranjero	2016M12	8.732
Total Nacional	01 Andalucía	04 Almería	Viajero	Total	Residentes en el Extranjero	2016M11	12.577
Total Nacional	01 Andalucía	04 Almería	Viajero	Total	Residentes en el Extranjero	2016M10	30.726
Total Nacional	01 Andalucía	04 Almería	Viajero	Total	Residentes en el Extranjero	2016M09	45.894
Total Nacional	01 Andalucía	04 Almería	Viajero	Total	Residentes en el Extranjero	2016M08	46.067
Total Nacional	01 Andalucía	04 Almería	Viajero	Total	Residentes en el Extranjero	2016M07	47.283
Total Nacional	01 Andalucía	04 Almería	Viajero	Total	Residentes en el Extranjero	2016M06	36.885
Total Nacional	01 Andalucía	04 Almería	Viajero	Total	Residentes en el Extranjero	2016M05	32.865
Total Nacional	01 Andalucía	04 Almería	Viajero	Total	Residentes en el Extranjero	2016M04	19.282
Total Nacional	01 Andalucía	04 Almería	Viajero	Total	Residentes en el Extranjero	2016M03	14.413
Total Nacional	01 Andalucía	04 Almería	Viajero	Total	Residentes en el Extranjero	2016M02	10.588
