Totales Territoriales	Comunidades y Ciudades Autónomas	Ramas de actividad	Periodo	Total
Total Nacional	08 Castilla - La Mancha	PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO	2014	36.136.765
Total Nacional	08 Castilla - La Mancha	PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO	2013	36.910.747
Total Nacional	08 Castilla - La Mancha	PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO	2012	37.644.363
Total Nacional	08 Castilla - La Mancha	PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO	2011	39.056.838
Total Nacional	08 Castilla - La Mancha	PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO	2010	39.436.268
Total Nacional	08 Castilla - La Mancha	PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO	2009	39.355.657
Total Nacional	08 Castilla - La Mancha	PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO	2008	40.786.424
Total Nacional	08 Castilla - La Mancha	PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO	2007	39.219.857
Total Nacional	08 Castilla - La Mancha	PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO	2006	35.995.174
Total Nacional	08 Castilla - La Mancha	PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO	2005	33.056.938
Total Nacional	08 Castilla - La Mancha	PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO	2004	30.276.086
Total Nacional	08 Castilla - La Mancha	PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO	2003	28.278.754
Total Nacional	08 Castilla - La Mancha	PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO	2002	26.093.633
Total Nacional	08 Castilla - La Mancha	PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO	2001	24.300.480
Total Nacional	08 Castilla - La Mancha	PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO	2000	22.364.758
Total Nacional	09 Cataluña	PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO	2023 (A)	281.845.146
Total Nacional	09 Cataluña	PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO	2022 (P)	258.686.459
Total Nacional	09 Cataluña	PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO	2021	234.820.402
Total Nacional	09 Cataluña	PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO	2020	214.857.435
Total Nacional	09 Cataluña	PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO	2019	240.165.818
Total Nacional	09 Cataluña	PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO	2018	231.101.287
Total Nacional	09 Cataluña	PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO	2017	223.139.777
Total Nacional	09 Cataluña	PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO	2016	214.502.547
Total Nacional	09 Cataluña	PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO	2015	206.434.270
Total Nacional	09 Cataluña	PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO	2014	196.999.531
Total Nacional	09 Cataluña	PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO	2013	193.328.965
Total Nacional	09 Cataluña	PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO	2012	194.512.765
Total Nacional	09 Cataluña	PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO	2011	199.939.125
Total Nacional	09 Cataluña	PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO	2010	202.602.183
Total Nacional	09 Cataluña	PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO	2009	200.745.296
Total Nacional	09 Cataluña	PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO	2008	208.161.832
Total Nacional	09 Cataluña	PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO	2007	202.742.146
Total Nacional	09 Cataluña	PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO	2006	189.253.240
Total Nacional	09 Cataluña	PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO	2005	174.583.886
Total Nacional	09 Cataluña	PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO	2004	162.519.729
Total Nacional	09 Cataluña	PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO	2003	151.640.414
Total Nacional	09 Cataluña	PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO	2002	141.683.092
Total Nacional	09 Cataluña	PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO	2001	132.816.296
Total Nacional	09 Cataluña	PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO	2000	122.568.772
Total Nacional	10 Comunitat Valenciana	PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO	2023 (A)	139.419.926
Total Nacional	10 Comunitat Valenciana	PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO	2022 (P)	127.589.937
Total Nacional	10 Comunitat Valenciana	PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO	2021	116.386.906
Total Nacional	10 Comunitat Valenciana	PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO	2020	106.067.171
Total Nacional	10 Comunitat Valenciana	PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO	2019	116.588.528
Total Nacional	10 Comunitat Valenciana	PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO	2018	112.749.574
Total Nacional	10 Comunitat Valenciana	PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO	2017	108.666.712
Total Nacional	10 Comunitat Valenciana	PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO	2016	104.205.396
Total Nacional	10 Comunitat Valenciana	PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO	2015	101.214.206
Total Nacional	10 Comunitat Valenciana	PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO	2014	97.256.083
Total Nacional	10 Comunitat Valenciana	PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO	2013	95.110.090
Total Nacional	10 Comunitat Valenciana	PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO	2012	95.835.883
Total Nacional	10 Comunitat Valenciana	PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO	2011	100.387.555
Total Nacional	10 Comunitat Valenciana	PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO	2010	101.870.024
Total Nacional	10 Comunitat Valenciana	PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO	2009	101.989.994
